okay my soul there I guess sookay okaybut again what are you just sendwhat is this all disappearedhey I'm Grump I'm joining nothing I guess I'll keep you onyeah I can still hear you but I'm going to meet you or just meI'm watching the workshop right nowwhat's on the Discordyeah I just don't know what the pink kind of look like you kind of made it like different like I just really like the last gender-neutral why can't you just make the picture the pink one smallerKnaus Berryphoto I see what you say nowthe one that ties onyeahwe are goodwhat do you mean a slideshow just keep it simple man reviews whatever you need only look at what you making I'm doing your extreme make it smaller make it smaller literally reduce theno increasingnono that's the thing double click on it and then no no adjusted to move it up and out orI don't know man yeah yeah either can you hear me can you hear meI know it doesn't but jpeg is probably betteryo what do you need by Fitz intro.wait till everybody to follow I'm not on your street go byyou didn't move the files around right cuz you can't do thatwhich foundingyeah that's why you rename which welder which welderscreen share that I don't know I think you should read it back to what it wasbut does she going to talk I think because the other one would know either way and make them evenzoom zoomoh yeah go back then I guessmake the top once more releasedno just no thickor this yeardouble click it again bring a little lowerthis outside outside and make it smalleryou can fit perfectly actually if you justand then againyes fine now let me see why is it like something's messed updo you want to odori suspect alright soBrunoor in the middle do you want to put a littlewe could do thatlike that actually look pretty neat right or liking for the house of your Halo small quote just thinking about it or no no the followingjust like put blind and deaf Technologies rightinspectors are just like accessibility accessibility Technologiesbut it's not just ice right it's like experience the worldnew censusexperience the world when you sent to stop you up lateryeahtalk to you don't talk to me until I talk to youcurrent date timecurrent current2020-03-28 01:19:40.708939	it's good that you be quiet
2020-03-28 01:19:53.173112	I'm trying something out loud like the date and time so I can get like the full transcript till like
2020-03-28 01:20:27.240781	what's going on something's not working but see what's going on
2020-03-28 01:20:44.421041	testing audio
2020-03-28 01:20:58.613561	that's pretty good okay you can tell me now
2020-03-28 01:21:15.986928	dream give me one second Oh shoot that's a nice can you like
2020-03-28 01:21:32.663617	not you just move the quote a little bit Kaufman
2020-03-28 01:21:46.979114	I like the Gap in the middle I would like maybe like
2020-03-28 01:21:55.311173	middle right are you understanding what I'm saying what you can do is I don't really care I really don't care if you want to we can I view the stump before I change the color like it's not that hard but honestly it right
2020-03-28 01:23:19.018689	all toys
2020-03-28 01:23:23.930367	I'll tell you I'll tell you how to do that I could have done it but if you want to learn how to do I'll tell you how to do it go to Google Chrome what I use otherwise usually you'd read the CSS but person supposed to be I'll just tell you how to use Google Chrome go to web store
2020-03-28 01:23:51.479715	refined
2020-03-28 01:23:56.655741	I have eyedropper yet.
2020-03-28 01:24:08.316892	I don't go to the demo it won't work on your downloaded file for some reason or maybe try here I don't know
2020-03-28 01:24:20.971806	doesn't know how many instructions on you download can you download mine will send you it
2020-03-28 01:24:38.540690	I'll see if yours works on the downloaded
2020-03-28 01:24:47.580691	not right
2020-03-28 01:24:53.295332	but it's fine as long as you got it basically. So now you take that you see the hashtag for 9 after you copy that and then you go to canva
2020-03-28 01:25:13.707940	elements
2020-03-28 01:25:17.269598	Left Coast cool down
2020-03-28 01:25:26.237348	and then go to the color like you see on next to duplicate on the left you see that little color of this color of the Box left the other now tasting in the search bar or put it there
2020-03-28 01:25:49.043122	also do you want to make an outline of the entire thing in that as well I like or like a block you want out of black frame is there a way to do that on this cuz I can kind of help with the flow cuz right now it's like a little like I'm not sure if we search up on the web how to put a black frame or something on
2020-03-28 01:27:32.998469	are you finding it can you search it up using Pho that like a thing
2020-03-28 01:27:59.027883	no weenie like a bold one
2020-03-28 01:28:28.309715	yeah like that I think that should work
